DEM_9s_dx,DEM_9s_dy
-1.2223516,1.7119609
6.1531525,4.620751
-8.315499,-11.14733
1.0329419,23.538172
0.88783395,-2.24985
38.218266,21.276627
1.0447733,3.7197585
-11.079119,-15.025521
-6.76097,-7.382584
-30.550526,-24.836857
-0.97152627,-0.8588724
0.7268574,8.508237
0.037068106,1.5234574
0.5675708,3.4318457
-1.7515312,8.472663
-0.99127024,0.67868423
-1.305897,1.0270933
-5.336813,5.8286843
41.975433,-30.734184
-3.5207045,-19.052135
-2.0006874,-1.0725822
1.7993096,0.2221501
-16.077604,-18.996706
-30.928364,-6.873953
-8.760255,-11.746199
16.752083,-1.8478779
-4.852457,-3.7329056
-0.15822053,1.336859
-5.910316,1.2931365
1.0308869,3.2152808
-5.357888,12.981829
9.564707,-14.11588
-4.1433024,-1.0170965
17.138351,-5.405964
-4.6519365,-5.5352654
-1.6089401,1.2030563
-1.1394696,0.5782523
4.6259637,3.6107492
-1.5858773,2.2263541
6.1967816,-1.022727
0.5712757,1.031112
-8.333015,-6.2864094
-17.227606,19.30457
3.3724189,-17.208134
1.9190089,35.843063
-4.917723,3.1606808
-2.7790654,-14.445956
1.9235743,0.14890806
-10.79228,5.781953
-6.576894,-7.0200377
3.1277702,7.7159653
-12.1320505,-13.817566
3.0868535,2.0680273
